Date,Time,"Nitrogen dioxide",Status
2024-01-19,12:00:00,23.46787,V ugm-3
2024-01-19,13:00:00,14.25803,V ugm-3
2024-01-19,14:00:00,10.19807,V ugm-3
2024-01-19,15:00:00,12.85302,V ugm-3
2024-01-19,16:00:00,14.0517,V ugm-3
2024-01-19,17:00:00,15.71705,V ugm-3
2024-01-19,18:00:00,18.47466,V ugm-3
2024-01-19,19:00:00,16.29006,V ugm-3
2024-01-19,20:00:00,19.04672,V ugm-3
2024-01-19,21:00:00,15.45701,V ugm-3
2024-01-19,22:00:00,12.85588,V ugm-3
2024-01-19,23:00:00,11.50238,V ugm-3
2024-01-19,24:00:00,11.13661,V ugm-3
2024-01-20,01:00:00,9.16298,V ugm-3
2024-01-20,02:00:00,5.83143,V ugm-3
2024-01-20,03:00:00,4.52974,V ugm-3
2024-01-20,04:00:00,3.2282,V ugm-3
2024-01-20,05:00:00,2.91577,V ugm-3
2024-01-20,06:00:00,3.07193,V ugm-3
2024-01-20,07:00:00,4.3732,V ugm-3
2024-01-20,08:00:00,6.61166,V ugm-3
2024-01-20,09:00:00,6.61203,V ugm-3
2024-01-20,10:00:00,7.49641,V ugm-3
2024-01-20,11:00:00,8.27626,V ugm-3
2024-01-20,12:00:00,10.67024,V ugm-3
2024-01-20,13:00:00,11.29671,V ugm-3
2024-01-20,14:00:00,13.74244,V ugm-3
2024-01-20,15:00:00,21.6567,V ugm-3
2024-01-20,16:00:00,12.38846,V ugm-3
2024-01-20,17:00:00,13.3782,V ugm-3
2024-01-20,18:00:00,15.92941,V ugm-3
2024-01-20,19:00:00,13.32688,V ugm-3
2024-01-20,20:00:00,12.12917,V ugm-3
2024-01-20,21:00:00,8.58933,V ugm-3
2024-01-20,22:00:00,6.35087,V ugm-3
2024-01-20,23:00:00,7.96489,V ugm-3
2024-01-20,24:00:00,7.60012,V ugm-3
2024-01-21,01:00:00,5.48457,V ugm-3
2024-01-21,02:00:00,6.10989,V ugm-3
2024-01-21,03:00:00,5.98864,V ugm-3
2024-01-21,04:00:00,3.64552,V ugm-3
2024-01-21,05:00:00,4.21845,V ugm-3
2024-01-21,06:00:00,3.80194,V ugm-3
2024-01-21,07:00:00,4.63456,V ugm-3
2024-01-21,08:00:00,4.73895,V ugm-3
2024-01-21,09:00:00,5.8325,V ugm-3
2024-01-21,10:00:00,8.64399,V ugm-3
2024-01-21,11:00:00,8.43571,V ugm-3
2024-01-21,12:00:00,25.09675,V ugm-3
2024-01-21,13:00:00,33.26429,V ugm-3
2024-01-21,14:00:00,43.05622,V ugm-3
2024-01-21,15:00:00,12.75691,V ugm-3
2024-01-21,16:00:00,7.18449,V ugm-3
2024-01-21,17:00:00,8.2268,V ugm-3
2024-01-21,18:00:00,5.7272,V ugm-3
2024-01-21,19:00:00,5.62337,V ugm-3
2024-01-21,20:00:00,4.26849,V ugm-3
2024-01-21,21:00:00,4.37357,V ugm-3
2024-01-21,22:00:00,3.43656,V ugm-3
2024-01-21,23:00:00,5.25929,V ugm-3
2024-01-21,24:00:00,1.77002,V ugm-3
2024-01-22,01:00:00,1.11108,V ugm-3
2024-01-22,02:00:00,1.73601,V ugm-3
2024-01-22,03:00:00,2.08358,V ugm-3
2024-01-22,04:00:00,1.40638,V ugm-3
2024-01-22,05:00:00,1.14571,V ugm-3
2024-01-22,06:00:00,4.84232,V ugm-3
2024-01-22,07:00:00,5.26035,V ugm-3
2024-01-22,08:00:00,8.74792,V ugm-3
2024-01-22,09:00:00,10.98575,V ugm-3
2024-01-22,10:00:00,6.81962,V ugm-3
2024-01-22,11:00:00,7.34244,V ugm-3
2024-01-22,12:00:00,6.71507,V ugm-3
2024-01-22,13:00:00,8.8496,V ugm-3
2024-01-22,14:00:00,7.54915,V ugm-3
2024-01-22,15:00:00,8.01737,V ugm-3
2024-01-22,16:00:00,10.72503,V ugm-3
2024-01-22,17:00:00,15.6179,V ugm-3
2024-01-22,18:00:00,11.4008,V ugm-3
2024-01-22,19:00:00,12.18213,V ugm-3
2024-01-22,20:00:00,8.79542,V ugm-3
2024-01-22,21:00:00,9.42583,V ugm-3
2024-01-22,22:00:00,14.01024,V ugm-3
2024-01-22,23:00:00,9.21685,V ugm-3
2024-01-22,24:00:00,8.69821,V ugm-3
2024-01-23,01:00:00,8.19718,V ugm-3
2024-01-23,02:00:00,2.29205,V ugm-3
2024-01-23,03:00:00,2.03195,V ugm-3
2024-01-23,04:00:00,2.2925,V ugm-3
2024-01-23,05:00:00,4.94906,V ugm-3
2024-01-23,06:00:00,6.98,V ugm-3
2024-01-23,07:00:00,11.56574,V ugm-3
2024-01-23,08:00:00,33.75468,V ugm-3
2024-01-23,09:00:00,44.20777,V ugm-3
2024-01-23,10:00:00,46.09741,V ugm-3
2024-01-23,11:00:00,52.71221,V ugm-3
2024-01-23,12:00:00,34.95042,V ugm-3
2024-01-23,13:00:00,35.26346,V ugm-3
2024-01-23,14:00:00,12.65438,V ugm-3
2024-01-23,15:00:00,9.68736,V ugm-3
2024-01-23,16:00:00,8.90679,V ugm-3
2024-01-23,17:00:00,9.21856,V ugm-3
2024-01-23,18:00:00,8.4869,V ugm-3
2024-01-23,19:00:00,7.55239,V ugm-3
2024-01-23,20:00:00,7.96958,V ugm-3
2024-01-23,21:00:00,4.89607,V ugm-3
2024-01-23,22:00:00,3.90587,V ugm-3
2024-01-23,23:00:00,3.59372,V ugm-3
2024-01-23,24:00:00,2.55203,V ugm-3
2024-01-24,01:00:00,1.31989,V ugm-3
2024-01-24,02:00:00,1.25066,V ugm-3
2024-01-24,03:00:00,1.40715,V ugm-3
