Place Code,Intermediate Zone,Local Authority,Local Authority (code),Population ,Working Age population,Average distance to nearest park or public garden (m),Median distance to nearest park or public garden (m),Average size of nearest park or public garden (m2),Median size of nearest park or public garden (m2),"Average number of parks and public gardens in 1,000 m radius","Median number of parks and public gardens in 1,000 m radius","Average combined size of parks and public gardens in 1,000 m radius (m2)","Median combined size of parks and public gardens in 1,000 m radius (m2)",Average population per park or public garden,Median population per park or public garden,Number of flats in rural and built up areas,Number of flats in rural and built up areas with gardens,Average garden size for flats in built up area,Number of houses in rural and built up area,Number of houses in rural and built up area with gardens,Average garden size for houses in rural and built up area ,SIMD2020 Rank,SIMD2020 Quintile,SIMD2020 Health Domain Rank,Alcohol Hospital visits ratio,Drug hospital visits ratio,Depression (%),Crime Rate,Overcrowded rate,Drive to secondary,Urban or Rural
S01006608,"Kincorth, Leggart and Nigg South",Aberdeen City,S12000033,1745,1118,382.46,336.00,1465038.73,2522941.31,1.31,1,2099017.81,2522941,13302.62,15990.50,237,157.10,405.12,745,691,284.69,5522,4,6214,38.44,0.00,14.11%,183.78,6.97%,5.19,URBAN
S01006609,"Kincorth, Leggart and Nigg South",Aberdeen City,S12000033,1037,684,389.81,398.56,2522941.31,2522941.31,1.18,1,2555185.56,2522941,15990.50,15990.50,106,70.26,405.12,391,390,189.30,3070,3,3138,127.67,84.65,19.10%,297.84,14.77%,5.22,URBAN
S01006610,"Kincorth, Leggart and Nigg South",Aberdeen City,S12000033,443,287,143.29,148.80,2522941.31,2522941.31,1.00,1,2522941.00,2522941,15990.50,15990.50,96,63.64,405.12,142,142,171.64,2413,2,2026,206.83,67.04,27.08%,140.97,14.25%,6.44,URBAN
S01006611,"Kincorth, Leggart and Nigg South",Aberdeen City,S12000033,915,609,307.34,295.86,2522941.31,2522941.31,1.00,1,2522941.00,2522941,15990.50,15990.50,144,95.45,405.12,290,290,178.26,2957,3,2393,137.07,134.13,21.90%,279.43,15.02%,7.20,URBAN
S01006612,"Kincorth, Leggart and Nigg South",Aberdeen City,S12000033,826,589,94.84,97.87,2522941.31,2522941.31,1.00,1,2522941.00,2522941,15990.50,15990.50,31,20.55,405.12,355,347,195.36,4528,4,4088,70.11,15.81,18.58%,236.05,7.43%,6.61,URBAN
S01006613,Cove South,Aberdeen City,S12000033,604,425,436.47,456.99,603044.04,54501.96,2.00,2,2577443.00,2577443,11112.49,9718.77,52,25.01,311.54,212,198,262.20,6733,5,6678,12.02,0.00,12.81%,171.35,5.39%,4.67,URBAN
S01006614,Cove South,Aberdeen City,S12000033,667,476,495.73,505.26,54501.96,54501.96,1.40,1,1063677.80,54501,9718.77,9718.77,0,0.00,0.00,269,268,178.12,6443,5,6260,73.49,36.49,12.25%,45.41,2.21%,5.31,URBAN
S01006615,Cove South,Aberdeen City,S12000033,829,586,448.01,444.14,2232536.68,2522941.31,1.76,2,2564619.00,2577443,15252.65,15990.50,0,0.00,0.00,274,268,273.20,6252,5,6837,24.34,0.00,9.50%,60.42,2.51%,5.51,URBAN
S01006616,Cove South,Aberdeen City,S12000033,738,597,281.45,314.58,54501.96,54501.96,1.09,1,283859.36,54501,9718.77,9718.77,48,23.08,311.54,292,280,192.75,6374,5,5434,103.47,16.11,15.33%,54.23,5.46%,4.88,URBAN
S01006617,Cove South,Aberdeen City,S12000033,661,415,200.23,176.41,54501.96,54501.96,1.00,1,54501.00,54501,9718.77,9718.77,14,6.73,311.54,312,311,243.09,5492,4,4765,36.71,24.30,16.43%,191.37,5.29%,5.01,URBAN
S01006618,Cove South,Aberdeen City,S12000033,477,324,88.07,79.12,54501.96,54501.96,1.18,1,499726.06,54501,9718.77,9718.77,17,8.18,311.54,234,231,226.05,6688,5,5585,64.68,67.08,18.62%,*,4.86%,4.37,URBAN
S01006619,Cove North,Aberdeen City,S12000033,866,586,381.17,405.22,295325.31,54501.96,1.27,1,912005.44,54501,10330.64,9718.77,45,40.11,244.25,360,344,254.97,5487,4,4777,39.99,15.71,16.46%,81.57,5.11%,4.78,URBAN
S01006620,Cove North,Aberdeen City,S12000033,771,515,333.32,382.75,54501.96,54501.96,1.44,1,1175808.56,54501,9718.77,9718.77,25,22.28,244.25,373,371,130.91,5059,4,4357,26.05,0.00,16.94%,128.84,7.43%,3.85,URBAN
S01006621,Cove North,Aberdeen City,S12000033,516,322,390.25,375.97,54501.96,54501.96,1.40,1,1063677.80,54501,9718.77,9718.77,24,21.39,244.25,222,221,107.71,5523,4,4438,85.48,0.00,18.00%,*,6.15%,3.02,URBAN
S01006622,Cove North,Aberdeen City,S12000033,644,529,165.42,168.30,54501.96,54501.96,1.00,1,54501.00,54501,9718.77,9718.77,64,57.05,244.25,239,239,131.86,6069,5,5589,42.09,35.52,15.16%,45.82,8.52%,3.49,URBAN
S01006623,Cove North,Aberdeen City,S12000033,710,483,522.22,539.89,1255618.90,200679.69,2.23,2,2183603.28,2522941,17146.21,15990.50,293,261.17,244.25,90,89,305.92,2241,2,2283,118.35,35.88,27.22%,1633.77,11.63%,4.84,URBAN
S01006624,Torry West,Aberdeen City,S12000033,796,611,151.09,142.38,533.50,284.85,4.00,4,186977.00,186977,3306.71,3788.23,607,507.43,331.08,96,96,288.78,2058,2,2825,212.10,288.63,15.50%,420.30,29.16%,6.78,URBAN
S01006625,Torry West,Aberdeen City,S12000033,593,441,293.44,299.62,672.92,284.85,4.88,5,362571.13,387656,3780.95,3788.23,180,150.47,331.08,115,113,296.19,3148,3,3366,70.96,63.71,17.07%,668.58,16.53%,6.93,URBAN
S01006626,Torry West,Aberdeen City,S12000033,688,477,246.27,260.48,1397.64,1397.64,5.36,5,1622870.57,1557229.5,6098.68,6098.68,377,315.16,331.08,35,35,292.06,1300,1,1293,267.67,243.34,21.73%,800.63,22.98%,7.28,URBAN
S01006627,Torry West,Aberdeen City,S12000033,795,681,422.19,393.39,8592.99,1397.64,4.41,4,1349060.70,387656,5712.94,6098.68,557,465.63,331.08,15,14,108.75,1238,1,1840,194.18,348.97,15.72%,383.77,37.96%,7.02,URBAN
S01006628,Torry West,Aberdeen City,S12000033,979,866,471.95,478.11,580.43,284.85,4.42,4,271902.28,186977,4401.94,3788.23,772,645.36,331.08,2,2,232.00,2163,2,3127,172.91,176.35,12.36%,844.68,37.56%,6.75,URBAN
S01006629,Torry West,Aberdeen City,S12000033,856,516,269.39,264.82,13608.84,1500.49,5.00,5,1316561.20,387656,4887.10,3766.41,279,233.23,331.08,88,87,340.84,1081,1,1226,594.95,141.16,23.56%,441.29,21.96%,6.36,URBAN
S01006630,Torry West,Aberdeen City,S12000033,632,400,407.71,415.57,35629.15,1449.06,5.06,5,1562385.19,1557229.5,7792.97,6098.68,142,118.71,331.08,131,130,214.33,1425,2,1890,24.94,181.41,21.22%,419.35,18.82%,6.56,URBAN
S01006631,Torry East,Aberdeen City,S12000033,1007,666,357.64,322.79,191246.31,200679.69,3.02,3,2643112.80,2725018,5980.49,6080.68,440,288.24,276.71,143,117,121.49,1207,1,1971,156.96,129.35,20.65%,677.04,19.47%,8.08,URBAN
S01006632,Torry East,Aberdeen City,S12000033,801,569,220.61,254.48,1397.64,1397.64,5.08,5,2754963.77,2726803,6098.68,6098.68,449,294.14,276.71,9,9,257.15,1288,1,2111,149.78,211.22,18.11%,551.69,22.29%,7.56,URBAN
S01006633,Torry East,Aberdeen City,S12000033,665,434,226.18,225.83,82355.97,1397.64,4.88,5,2772417.06,2726803,6091.37,6098.68,151,98.92,276.71,154,150,137.62,657,1,1231,247.85,401.79,20.96%,1703.10,22.75%,6.93,URBAN
S01006634,Torry East,Aberdeen City,S12000033,598,423,115.99,108.16,200679.69,200679.69,3.00,3,2725018.00,2725018,6080.68,6080.68,228,149.36,276.71,91,75,112.18,417,1,765,243.77,441.72,20.58%,1330.73,18.61%,7.69,URBAN
S01006635,Torry East,Aberdeen City,S12000033,604,418,226.27,210.76,139362.13,200679.69,4.00,4,2725863.77,2725303,6086.22,6080.68,205,134.30,276.71,97,92,161.75,1480,2,2481,76.42,429.47,16.69%,581.43,22.19%,7.57,URBAN
S01006636,Torry East,Aberdeen City,S12000033,764,502,178.79,177.92,200679.69,200679.69,3.19,3,2732635.46,2725018,6080.68,6080.68,400,262.04,276.71,20,20,150.87,754,1,1001,315.34,482.23,18.00%,824.84,20.92%,8.17,URBAN
S01006637,Hanover South,Aberdeen City,S12000033,765,608,542.15,546.32,77180.71,67310.77,2.01,2,99632.93,86311,7872.83,8266.28,348,214.28,162.00,97,26,93.63,2463,2,3572,126.58,63.34,13.07%,682.10,21.81%,5.17,URBAN
S01006638,Hanover South,Aberdeen City,S12000033,748,663,425.41,436.58,64084.39,67310.77,2.54,3,81083.27,86311,8237.74,8266.28,570,350.98,162.00,16,16,176.48,1630,2,1843,183.22,176.55,18.95%,753.97,26.50%,4.78,URBAN
S01006639,Hanover South,Aberdeen City,S12000033,946,702,411.45,429.84,15083.83,7622.84,3.00,3,86311.00,86311,7804.35,7738.36,694,427.33,162.00,19,17,100.63,1694,2,1490,228.45,97.50,20.27%,602.77,28.68%,4.37,URBAN
S01006640,Hanover South,Aberdeen City,S12000033,767,743,121.19,112.25,67310.77,67310.77,1.76,2,73118.00,74933,8266.28,8266.28,470,289.40,162.00,12,10,93.80,5973,5,6692,111.94,50.70,8.87%,246.39,19.50%,5.09,URBAN
S01006641,Hanover North,Aberdeen City,S12000033,1046,888,307.39,348.24,67310.77,67310.77,1.90,2,75196.84,74933,8266.28,8266.28,593,385.85,216.18,21,21,90.18,3513,3,3923,147.40,151.55,13.85%,329.79,29.60%,5.34,URBAN
S01006642,Hanover North,Aberdeen City,S12000033,1246,1184,549.03,573.11,14619.50,7622.84,3.50,4,95292.94,109458,9370.25,7738.36,713,463.94,216.18,20,20,290.92,3554,3,3725,168.08,152.73,12.72%,623.65,29.28%,3.98,URBAN
S01006643,Hanover North,Aberdeen City,S12000033,704,637,568.90,548.88,67310.77,67310.77,2.97,3,94392.34,98080,8266.28,8266.28,461,299.96,216.18,2,1,94.42,5411,4,5073,70.07,139.57,10.29%,290.16,28.36%,4.75,URBAN
S01006644,Hanover North,Aberdeen City,S12000033,1075,1001,560.22,630.81,59281.05,67310.77,2.55,3,105520.97,98080,9492.79,8266.28,798,519.24,216.18,3,3,231.46,4370,4,4609,52.07,27.64,15.12%,248.94,28.66%,5.37,URBAN
S01006645,George Street,Aberdeen City,S12000033,691,512,625.42,632.77,11109.63,11377.85,4.43,4.5,136935.50,140861.5,21135.83,22166.40,414,211.37,183.31,0,0,0.00,1007,1,1969,248.43,126.69,17.74%,1309.97,19.07%,3.68,URBAN
S01006646,George Street,Aberdeen City,S12000033,890,762,184.80,109.64,8070.69,7622.84,2.93,3,76593.94,86311,9459.14,7738.36,482,246.08,183.31,1,0,0.00,3888,3,4431,80.70,26.17,10.63%,846.82,27.64%,2.33,URBAN
S01006647,George Street,Aberdeen City,S12000033,604,460,377.69,389.94,7622.84,7622.84,3.31,3,93494.55,86311,7738.36,7738.36,357,182.27,183.31,6,1,0.92,2962,3,3461,119.16,191.79,13.56%,324.05,20.68%,3.05,URBAN
S01006648,George Street,Aberdeen City,S12000033,1608,1611,376.50,357.46,12957.94,11377.85,3.63,4,121562.50,161465,21747.84,22166.40,854,436.01,183.31,4,3,99.97,3506,3,4607,86.61,49.00,10.10%,641.94,30.15%,2.18,URBAN
S01006649,George Street,Aberdeen City,S12000033,946,828,626.22,617.81,40164.04,23147.30,4.33,4,179279.73,176989,16881.91,15012.07,651,332.37,183.31,5,5,54.59,2287,2,2411,131.61,106.32,17.20%,605.04,22.58%,3.98,URBAN
S01006650,George Street,Aberdeen City,S12000033,762,680,517.28,526.74,40284.29,23147.30,3.33,3,170067.33,165612,13702.76,15012.07,503,256.81,183.31,18,18,182.86,2621,2,2781,202.22,213.46,14.23%,657.40,31.08%,4.24,URBAN
S01006651,George Street,Aberdeen City,S12000033,753,536,520.39,519.12,23147.30,23147.30,3.70,4,152875.08,176989,15012.07,15012.07,411,209.84,183.31,10,9,111.47,2106,2,3335,189.91,52.73,17.62%,927.39,30.55%,4.64,URBAN
S01006652,George Street,Aberdeen City,S12000033,761,664,667.53,646.06,21734.96,23147.30,4.36,5,139023.20,184612,15870.59,15012.07,357,182.27,183.31,8,7,341.74,5477,4,5609,79.92,15.12,14.12%,340.27,22.02%,3.93,URBAN
S01006653,Ashgrove,Aberdeen City,S12000033,568,427,409.61,393.27,87501.23,87501.23,3.10,3,167043.70,165612,7717.81,7717.81,242,155.19,280.90,67,67,159.96,5467,4,5539,85.78,19.08,13.79%,241.55,11.70%,4.04,URBAN
S01006654,Ashgrove,Aberdeen City,S12000033,849,638,441.70,431.71,87501.23,87501.23,4.05,4,214247.48,229124,7717.81,7717.81,494,316.80,280.90,37,34,134.85,1188,1,1021,312.19,172.22,22.70%,392.59,18.69%,4.14,URBAN
S01006655,Ashgrove,Aberdeen City,S12000033,868,598,184.86,214.93,87501.23,87501.23,2.59,3,156105.09,165612,7717.81,7717.81,414,265.50,280.90,112,100,107.40,3637,3,3356,33.66,83.54,15.06%,525.73,15.71%,4.49,URBAN
S01006656,Ashgrove,Aberdeen City,S12000033,978,815,421.86,439.97,55160.50,54963.49,3.83,4,166401.96,161465,20203.79,20902.39,519,332.83,280.90,42,39,250.88,3391,3,3665,114.12,52.78,13.67%,433.99,18.55%,3.32,URBAN
S01006657,Ashgrove,Aberdeen City,S12000033,511,447,537.67,536.21,20939.76,23147.30,4.55,5,199474.70,192431,12301.83,15012.07,302,193.67,280.90,11,10,117.56,2576,2,3538,76.37,95.20,14.90%,7387.55,26.12%,2.71,URBAN
S01006658,"Froghall, Powis and Sunnybank",Aberdeen City,S12000033,1211,1006,327.68,334.31,23147.30,23147.30,2.85,3,103826.98,110648,15012.07,15012.07,795,659.86,247.94,10,7,119.15,2192,2,2634,183.03,262.49,15.40%,420.54,33.07%,4.99,URBAN
S01006659,"Froghall, Powis and Sunnybank",Aberdeen City,S12000033,596,484,222.93,212.85,23147.30,23147.30,4.54,5,167063.00,192431,15012.07,15012.07,267,221.61,247.94,63,63,142.50,6318,5,6035,109.36,96.33,12.36%,151.14,20.41%,4.23,URBAN
S01006660,"Froghall, Powis and Sunnybank",Aberdeen City,S12000033,506,371,296.65,288.65,21381.27,23147.30,4.30,4,216518.80,164949,12843.88,15012.07,261,216.63,247.94,2,1,53.99,2358,2,4556,112.75,148.64,11.41%,461.21,33.97%,4.48,URBAN
S01006661,"Froghall, Powis and Sunnybank",Aberdeen City,S12000033,614,477,74.52,62.58,23147.30,23147.30,3.82,4,247364.36,335163,15012.07,15012.07,209,173.47,247.94,110,109,197.61,4909,4,5307,42.44,41.40,13.48%,153.95,21.22%,3.68,URBAN
S01006662,"Froghall, Powis and Sunnybank",Aberdeen City,S12000033,786,706,205.47,196.35,18687.42,23147.30,4.22,4,351853.65,335163,9627.73,15012.07,304,252.32,247.94,31,31,172.10,2481,2,3329,99.64,184.54,11.41%,396.90,19.67%,3.93,URBAN
S01006663,"Froghall, Powis and Sunnybank",Aberdeen City,S12000033,570,477,246.88,233.16,23147.30,23147.30,4.78,5,360141.78,411940,15012.07,15012.07,183,151.89,247.94,76,72,122.71,6784,5,6544,166.87,90.98,10.02%,124.80,28.47%,4.40,URBAN
S01006664,"Froghall, Powis and Sunnybank",Aberdeen City,S12000033,512,500,205.68,245.21,23147.30,23147.30,2.78,3,46986.11,49966,15012.07,15012.07,206,170.98,247.94,44,28,131.13,5245,4,4932,93.39,21.55,11.71%,297.84,24.65%,4.56,URBAN
S01006665,"Froghall, Powis and Sunnybank",Aberdeen City,S12000033,765,675,403.41,437.92,23147.30,23147.30,2.68,2,90187.08,90458,15012.07,15012.07,481,399.23,247.94,49,38,272.63,5380,4,5500,54.84,88.78,10.63%,222.71,30.82%,4.98,URBAN
S01006666,Seaton,Aberdeen City,S12000033,1089,694,136.15,140.43,74592.60,76777.15,3.05,3,313290.77,374476,7161.17,6829.64,748,608.91,481.47,13,13,103.18,973,1,855,432.29,350.37,21.56%,627.22,20.18%,4.53,URBAN
S01006667,Seaton,Aberdeen City,S12000033,721,528,313.09,269.17,69115.74,76777.15,4.64,5,406826.79,411940,7998.56,6829.64,470,382.60,481.47,2,2,425.63,552,1,882,187.96,337.52,21.55%,891.14,21.85%,4.79,URBAN
S01006668,Seaton,Aberdeen City,S12000033,881,810,553.53,560.10,46131.52,23147.30,3.82,4,201190.14,179737,11505.32,15012.07,472,384.23,481.47,1,0,0.00,4426,4,5297,41.90,133.40,11.23%,280.67,28.08%,6.18,URBAN
S01006669,Seaton,Aberdeen City,S12000033,923,755,249.25,219.15,35535.73,12501.99,4.93,5,408186.88,411940,6541.56,2641.29,433,352.48,481.47,71,50,281.90,2723,2,2329,168.36,188.75,16.08%,503.70,22.05%,4.21,URBAN
S01006670,Seaton,Aberdeen City,S12000033,884,738,634.38,658.24,42688.58,23147.30,3.00,3,166643.56,167235,12029.55,15012.07,539,438.77,481.47,3,1,288.15,4012,3,3733,110.54,64.08,13.42%,460.83,26.79%,5.89,URBAN
S01006671,Old Aberdeen,Aberdeen City,S12000033,1834,1872,144.85,124.54,184689.26,285197.41,4.60,5,557494.53,650538,8099.76,10807.99,427,345.60,281.15,50,41,785.07,6190,5,6944,58.89,20.66,7.20%,94.83,18.92%,4.64,URBAN
S01006672,Old Aberdeen,Aberdeen City,S12000033,774,573,257.18,256.30,108793.19,76777.15,5.00,5,411940.00,411940,6453.62,6829.64,353,285.70,281.15,58,37,331.44,2208,2,1956,230.43,149.28,17.27%,404.56,28.46%,3.92,URBAN
S01006673,Old Aberdeen,Aberdeen City,S12000033,817,700,121.61,115.75,199543.35,285197.41,4.63,5,403412.16,411940,9017.15,10807.99,343,277.61,281.15,62,46,389.53,2373,2,2452,297.14,189.12,15.95%,446.41,18.08%,4.49,URBAN
S01006674,Old Aberdeen,Aberdeen City,S12000033,920,560,56.64,53.91,76777.15,76777.15,3.52,4,382066.04,388793,6829.64,6829.64,587,475.09,281.15,3,2,319.15,1045,1,1678,235.35,164.47,21.70%,421.48,19.07%,4.97,URBAN
S01006675,Tillydrone,Aberdeen City,S12000033,932,629,451.42,453.53,217477.34,285197.41,4.07,4,365050.64,374691,9148.78,10807.99,366,235.50,269.28,17,17,73.82,1512,2,1924,225.52,383.68,14.88%,354.15,17.42%,4.24,URBAN
S01006676,Tillydrone,Aberdeen City,S12000033,745,473,206.41,197.34,254239.67,285197.41,4.34,4,521558.69,588078,10049.50,10807.99,305,196.25,269.28,96,77,191.94,1077,1,1355,168.71,183.75,20.72%,731.21,21.82%,3.28,URBAN
S01006677,Tillydrone,Aberdeen City,S12000033,708,524,177.98,139.06,14317.14,14317.14,4.17,4,347175.72,335163,4171.13,4171.13,367,236.14,269.28,88,88,100.59,753,1,543,608.15,386.72,25.60%,699.35,18.40%,2.20,URBAN
S01006678,Tillydrone,Aberdeen City,S12000033,1667,1135,501.54,526.28,278133.20,285197.41,4.00,4,560968.29,588078,10836.54,10807.99,607,390.56,269.28,236,227,99.41,1595,2,1988,163.48,68.18,18.74%,395.47,18.29%,4.09,URBAN
S01006679,Tillydrone,Aberdeen City,S12000033,610,416,578.81,588.53,62674.67,62674.67,2.60,2,255199.67,347872,11707.29,11707.29,72,46.33,269.28,247,241,177.33,5716,5,5098,53.81,0.00,17.30%,82.46,9.33%,3.75,URBAN
S01006680,Tillydrone,Aberdeen City,S12000033,850,598,737.35,735.78,264968.07,285197.41,3.82,4,587727.91,638251,10889.75,10807.99,406,261.23,269.28,46,46,68.30,1326,1,2110,258.38,168.06,14.94%,318.23,19.15%,4.40,URBAN
S01006681,Woodside,Aberdeen City,S12000033,807,464,481.76,488.79,61191.55,60449.99,2.06,2,106557.06,123124,21824.46,26883.04,411,206.91,511.11,72,72,153.48,1681,2,1235,292.70,223.61,30.38%,262.01,21.12%,4.87,URBAN
S01006682,Woodside,Aberdeen City,S12000033,926,592,542.25,550.84,56813.15,62674.67,4.42,5,342542.12,398676,10793.82,11707.29,407,204.90,511.11,25,17,196.86,1547,2,1689,249.49,221.82,16.42%,344.73,23.21%,3.56,URBAN
S01006683,Woodside,Aberdeen City,S12000033,970,664,555.18,555.18,23988.64,14317.14,5.20,5,400390.87,398676,5678.36,4171.13,382,192.31,511.11,48,45,190.50,1599,2,2235,192.20,110.12,15.93%,359.33,21.56%,2.37,URBAN
S01006684,Woodside,Aberdeen City,S12000033,685,514,457.28,445.09,84926.95,62674.67,3.20,3,271810.23,371857,11617.36,11707.29,405,203.89,511.11,62,57,146.73,268,1,502,258.84,201.71,23.58%,878.69,23.83%,3.61,URBAN
S01006685,Woodside,Aberdeen City,S12000033,630,498,347.69,340.41,62674.67,62674.67,2.67,3,126959.00,147109,11707.29,11707.29,429,215.98,511.11,16,9,262.56,1224,1,1268,210.67,420.96,21.95%,618.76,17.97%,4.64,URBAN
S01006686,Hilton,Aberdeen City,S12000033,602,406,224.81,199.79,54936.78,62674.67,2.90,3,141064.00,147109,11573.58,11707.29,339,275.49,467.14,1,1,230.48,2157,2,2293,189.11,119.19,21.15%,187.84,15.92%,4.61,URBAN
S01006687,Hilton,Aberdeen City,S12000033,735,490,94.01,95.66,62674.67,62674.67,2.37,2,108930.05,86659,11707.29,11707.29,436,354.31,467.14,1,1,94.79,2231,2,2694,126.70,98.76,20.67%,206.66,14.41%,4.73,URBAN
S01006688,Hilton,Aberdeen City,S12000033,895,517,213.17,177.23,23985.21,23985.21,2.57,3,136243.47,174161,11038.76,11038.76,275,223.48,467.14,243,242,304.87,4429,4,3463,97.73,35.17,18.11%,199.21,9.07%,4.09,URBAN
S01006689,Hilton,Aberdeen City,S12000033,999,725,488.57,501.24,48166.36,62674.67,3.25,3,155188.81,174161,11084.34,11707.29,393,319.37,467.14,158,154,261.30,6887,5,6891,4.26,24.58,10.52%,184.91,6.68%,3.42,URBAN
S01006690,Hilton,Aberdeen City,S12000033,588,427,248.39,275.94,62674.67,62674.67,2.23,2,89963.15,86659,11707.29,11707.29,281,228.35,467.14,39,31,216.70,4118,3,3723,211.53,165.14,13.86%,156.33,13.47%,3.81,URBAN
S01006691,Hilton,Aberdeen City,S12000033,614,454,676.35,681.21,38755.22,23147.30,5.45,6,224711.26,224127,9191.83,7717.81,267,216.98,467.14,87,87,218.33,5313,4,4704,79.89,64.54,16.21%,162.54,8.23%,3.11,URBAN
S01006692,Hilton,Aberdeen City,S12000033,742,544,635.74,640.40,24064.45,14317.14,5.53,6,338677.35,421823,5396.34,4171.13,201,163.34,467.14,175,175,236.53,5381,4,4429,43.41,120.39,14.50%,120.87,6.78%,2.63,URBAN
S01006693,Hilton,Aberdeen City,S12000033,926,705,246.24,240.01,62674.67,62674.67,2.11,2,98501.75,86659,11707.29,11707.29,450,365.69,467.14,68,64,252.41,4131,3,4242,103.41,71.66,15.36%,348.10,22.68%,4.03,URBAN
S01006694,Stockethill,Aberdeen City,S12000033,887,488,1038.81,1052.38,27083.55,23985.21,1.05,1,30140.61,23985,10876.76,11038.76,423,252.88,245.25,110,107,101.88,1219,1,1147,193.73,255.60,25.46%,452.08,12.02%,3.84,URBAN
S01006695,Stockethill,Aberdeen City,S12000033,720,439,312.86,315.26,36083.50,23985.21,2.90,3,158080.10,174161,10406.19,11038.76,95,56.79,245.25,260,253,160.30,2631,2,2961,96.28,79.98,20.69%,456.52,8.43%,3.92,URBAN
S01006696,Stockethill,Aberdeen City,S12000033,775,530,468.67,470.99,23985.21,23985.21,2.26,2,109576.19,86659,11038.76,11038.76,257,153.64,245.25,149,148,85.15,2079,2,2503,85.13,224.65,18.84%,478.62,23.20%,3.47,URBAN
S01006697,Stockethill,Aberdeen City,S12000033,905,622,566.05,505.48,27954.96,23985.21,2.88,3,164293.00,174161,10831.20,11038.76,266,159.02,245.25,204,203,230.63,2095,2,2370,229.52,131.31,19.71%,375.47,15.44%,3.74,URBAN
S01006698,Stockethill,Aberdeen City,S12000033,779,519,809.07,792.00,23985.21,23985.21,1.48,1,57839.44,23985,11038.76,11038.76,403,240.92,245.25,58,58,77.69,982,1,1192,111.94,179.55,22.39%,594.92,17.95%,3.67,URBAN
S01006699,Stockethill,Aberdeen City,S12000033,500,328,402.80,425.14,30336.81,23985.21,3.20,3,185153.60,174161,10706.66,11038.76,125,74.73,245.25,99,99,283.46,5068,4,5218,88.40,80.09,12.90%,344.30,19.96%,3.96,URBAN
S01006700,Stockethill,Aberdeen City,S12000033,812,535,429.49,458.54,76657.03,87501.23,3.76,4,214966.00,229124,8284.80,7717.81,261,156.03,245.25,187,186,277.94,2607,2,3025,183.50,83.91,17.42%,279.60,14.58%,4.47,URBAN
S01006701,Mastrick,Aberdeen City,S12000033,656,457,1175.86,1179.21,422755.29,422755.29,1.00,1,422755.00,422755,19822.77,19822.77,170,144.02,492.64,175,173,184.57,1315,1,1013,301.33,412.11,21.88%,587.70,23.63%,5.52,URBAN
S01006702,Mastrick,Aberdeen City,S12000033,783,497,1211.21,1223.70,55891.89,60449.99,1.00,1,55891.00,60449,24902.50,26883.04,4,3.39,492.64,335,333,183.71,3662,3,3381,33.22,54.95,19.37%,129.83,18.00%,3.62,URBAN
S01006703,Mastrick,Aberdeen City,S12000033,638,431,1422.56,1464.38,396956.12,422755.29,1.00,1,396955.81,422755,19764.34,19822.77,113,95.73,492.64,203,196,180.43,1919,2,2206,73.18,68.84,19.10%,877.22,20.00%,4.83,URBAN
